TP9,AF7,AF8,TP10
-1.953,20.02,60.059,-63.477
-1.953,22.461,62.988,-72.266
5.859,23.926,260.742,-54.199
7.324,21.484,242.676,-35.156
3.906,20.996,154.297,-31.738
0.0,22.949,72.266,-45.898
-5.371,22.461,90.82,-60.547
-1.465,18.555,199.219,-53.223
1.953,20.02,215.82,-42.48
-4.883,22.461,152.344,-38.086
-5.859,20.02,83.984,-48.828
-7.812,20.508,72.266,-60.547
-10.254,20.02,157.227,-56.641
-14.648,16.602,232.422,-44.922
-21.484,13.672,188.477,-42.48
-28.809,7.812,98.145,-59.082
-35.156,2.441,67.383,-76.66
-38.574,0.977,175.293,-70.312
-38.086,0.488,229.492,-54.688
-37.109,-1.465,149.414,-55.664
-37.598,-2.93,81.543,-59.57
-37.598,-10.254,62.5,-64.453
-32.715,-7.324,155.273,-64.941
-30.762,-5.371,211.914,-52.734
-38.574,-12.695,142.578,-47.852
-46.875,-12.207,111.816,-59.57
-48.828,-13.672,20.996,-72.754
-45.898,-17.09,49.805,-71.777
-43.945,-14.648,239.258,-55.664
-39.551,-11.719,198.242,-49.316
-37.598,-12.695,116.211,-55.176
-42.969,-13.184,27.832,-70.801
-45.41,-12.207,73.242,-76.66
-41.016,-10.254,192.383,-62.5
-39.551,-6.836,127.93,-53.223
-38.574,-5.371,55.664,-45.41
-40.527,-2.93,-31.738,-52.734
-41.504,0.977,60.547,-62.012
-32.715,2.93,163.574,-49.805
-29.785,0.0,126.465,-40.039
-32.715,-1.953,125.977,-44.434
-38.086,0.0,-25.879,-56.641
-32.715,0.977,5.371,-62.988
-26.855,-0.488,169.922,-57.129
-24.414,3.906,130.371,-44.434
-24.902,8.789,89.844,-42.969
-26.855,8.789,-12.695,-52.246
-24.902,10.742,0.488,-62.012
-24.414,11.719,122.07,-58.594
-19.531,10.254,122.559,-41.992
-26.367,4.883,93.262,-41.992
-32.715,2.93,12.207,-56.152
-31.738,2.93,-66.895,-69.336
-27.344,0.0,103.027,-62.012
-24.902,3.906,222.168,-46.875
-25.391,8.301,79.102,-48.828
-29.785,10.254,-30.762,-59.57
-34.668,8.789,-12.207,-71.289
-32.715,8.789,112.305,-66.895
-27.344,11.23,85.449,-52.246
-21.973,9.766,18.066,-48.828
-22.949,7.812,11.719,-61.523
-23.926,7.812,-69.336,-76.172
-19.043,10.742,41.992,-71.289
-13.184,12.207,146.484,-51.27
-10.254,11.23,46.875,-46.875
-20.02,12.207,-6.348,-53.711
-23.438,9.277,-54.199,-67.871
-22.461,6.348,25.879,-69.336
-22.949,11.719,124.023,-55.664
-21.973,15.625,72.754,-50.293
-19.531,9.766,-21.484,-61.523
-18.066,10.254,-101.562,-73.73
-17.578,15.625,48.828,-68.359
-17.09,14.648,148.438,-55.176
-20.996,10.742,59.57,-50.781
-22.949,4.883,30.273,-60.547
-24.902,4.883,-68.359,-76.172
-29.297,5.859,3.906,-82.52
-27.832,6.836,147.949,-66.895
-23.438,10.742,86.914,-53.711
-27.832,9.766,41.504,-59.57
-33.691,12.207,-53.223,-70.801
-30.273,16.602,-13.672,-73.242
-24.414,18.066,129.883,-54.199
-21.484,17.09,141.113,-40.039
-21.973,16.113,79.102,-54.199
-24.902,19.531,-32.715,-62.988
-28.809,17.09,-31.25,-71.289
-28.32,14.648,166.016,-67.383
-25.879,17.09,141.113,-53.711
-26.367,13.672,61.035,-58.594
-26.855,16.113,2.441,-68.848
-28.32,22.461,-15.137,-76.66
-33.203,19.531,118.652,-70.312
-33.203,14.648,114.258,-57.129
-35.645,10.254,28.809,-62.012
-42.48,10.742,0.0,-72.266
-39.551,13.184,-28.809,-78.125
-37.109,11.23,110.352,-73.73
-35.156,9.766,167.48,-59.57
-34.18,12.695,69.336,-50.293
-29.785,20.996,4.395,-66.406
-36.621,25.391,-32.227,-90.332
-43.945,24.414,96.68,-80.566
-40.527,20.996,117.188,-64.941
-40.527,17.578,51.27,-71.777
-41.016,17.09,-15.625,-82.52
-45.898,15.625,-118.652,-92.773
-41.992,15.137,39.551,-86.914
-36.621,10.254,154.785,-67.383
-35.156,14.648,49.316,-58.594
-36.133,23.926,13.672,-69.824
-39.551,22.461,-116.211,-90.332
-38.086,15.625,-22.461,-89.355
-30.762,17.09,127.441,-68.359
-26.367,24.414,35.156,-62.5
-25.391,28.809,-27.344,-68.359
-25.879,23.926,-105.957,-80.566
-27.344,21.484,-24.902,-86.426
-24.902,28.32,50.293,-72.754
-23.438,24.414,0.488,-69.336
-23.438,20.508,27.344,-77.148
-26.367,22.949,-109.375,-83.008
-28.32,24.902,-128.906,-89.355
